Year,Part,TDP_W,Cores,FP32_GF,FP64_GF
2008,NVIDIA GT200,189,240,1036,518
2009,NVIDIA GTX 285 (GT200-200),183,240,1062,531
2010,NVIDIA GF100 (Fermi),225,512,1345,672
2011,NVIDIA GF110 (Fermi‑refresh),244,512,1345,672
2012,NVIDIA Tesla K20X (Kepler),235,2688,3935,1312
2013,NVIDIA Tesla K40 (Kepler),235,2880,4290,1430
2014,NVIDIA GTX 980 (Maxwell),165,2048,4612,144
2015,NVIDIA Titan X (Maxwell GM200),250,3072,6144,192
2016,NVIDIA Tesla P100 (Pascal),250,3584,10600,5300
2017,NVIDIA Tesla V100 (Volta),300,5120,15000,7500
2018,NVIDIA RTX 2080 Ti (Turing),250,4352,13550,422
2019,NVIDIA Tesla V100S (Volta),300,5120,17500,8750
2020,AMD Instinct MI100,400,7680,23000,11500
2021,NVIDIA A100 40 GB (Ampere),400,6912,31200,15600
2022,NVIDIA A100 80 GB (Ampere),400,6912,31200,15600
2023,NVIDIA H100 SXM (Hopper),500,18432,80000,40000
2024,NVIDIA GH200 (Grace‑Hopper),700,25600,110000,55000
2025,NVIDIA GH200 Refresh (proj.),750,30000,130000,65000
